"Name","Wild","Ethnographic_wild","Ethnographic","Landrace","Archaeological","Cueva","GreenBluff","USDA_mex","Lentz_mex","Mex_cult","argophyllus","petiolaris_petiolaris","petiolaris_fallax","niveus_canescens"
"ANN1123",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1124",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1127",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1132",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1133",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1134",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1141",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1143",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1144",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1152",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1154",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1160",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1162",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1164",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1169",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1172",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1174",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1178",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1183",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1187",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1188",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1195",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1197",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1198",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1202",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1203",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1204",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1216",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1218",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1219",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1251",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1252",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1260",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1263",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1264",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1268",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1273",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1274",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1278",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1284",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1285",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1286",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1296",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1297",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1300",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1301",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1309",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1310",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1311",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1316",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1319",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1322",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1328",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANN1330",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG0010",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ARG0054",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ARG0169",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ARG0204",0,0,0,0,0,0,0,0,0,0,1,0,0,0
