ann04_nwAR	AR
ANN0956	NM
ANN0957	NM
ANN0959	NM
ANN0962	NM
ANN0963	NM
ANN0964	NM
ANN0972	NM
ANN0975	NM
ANN0978	NM
ANN0981	NM
ANN0985	NM
ANN0986	NM
ANN1296	NM
ANN1297	NM
ANN1300	NM
ANN1301	NM
ANN1309	NM
ANN1310	NM
ann05_ccNM	NM
ANN1029	NV
ANN1040	NV
ANN1046	ANN1046
ANN1201	OK
ANN1202	OK
ANN1203	OK
ANN1204	OK
ANN1205	OK
ANN1206	OK
ANN1207	OK
ANN1208	OK
ANN1209	OK
ANN1210	OK
PET0473N	Outgroup
PET0532	Outgroup
PET0580	Outgroup
SD1W_13	SD
SD1W_14	SD
SD1W_15	SD1W_15
SD1W_20	SD
SD1W_21	SD
SD1W_21B	SD
SD1W_35	SD
SD1W_4	SD
SD1W_6	SD
SD2W_14	SD
SD2W_15	SD
SD2W_18	SD
SD2W_19	SD
SD2W_21	SD2W_21
SD2W_23	SD
SD2W_23R	SD
SD2W_27	SD
SD2W_30	SD
SD2W_38	SD2W_38
SD2W_40	SD
SD2W_5	SD
ann29_neSD	SD
ANN1501	SK
SK1W_1	SK
SK1W_15	SK
SK1W_22	SK
SK1W_22R	SK
SK1W_25	SK
SK1W_29	SK
SK1W_29R	SK
SK1W_36	SK
SK1W_37	SK
SK1W_Q	SK
ann28_swSK	SK
Ari_Broad	TV_ethnographic
Ari_Man	TV_ethnographic
Paiute	TV_ethnographic
Se_Purp	TV_ethnographic
Se_Strip_682a	TV_ethnographic
Seneca_137749	TV_ethnographic
MexCult1	TV_MX
MexCult14	TV_MX
MexCult15	TV_MX
MexCult3	TV_MX
MexCult6	TV_MX
MexCult7	TV_MX
MexCult9	TV_MX
Anzac_Pueblo	TV_other
Arikara	TV_other
Hidatsa	TV_other
Laguna_Pueblo	TV_other
Mandan1_PPN046	TV_other
Mandan2	TV_other
Pueblo	TV_other
Seneca	TV_other
Zuni	TV_other
Havasupai	TV_SW
Hopi_dye_NEW	TV_SW
Hopi_mapping_NEW	TV_SW
Hopi_real_NEW	TV_SW
ANN1216	TX
ANN1218	TX
ANN1219	TX
ANN1311	TX
ANN1316	TX
ANN1319	TX
ANN1322	TX
ANN1328	TX
ANN1330	TX
ANN1331	TX_texanus
ANN1341	TX_texanus
ANN1407	TX_texanus
ANN1053	UT
ANN1062	UT
ANN1073	UT
ANN1083	UT
ANN1095	UT
ANN1106	UT
ANN1115	UT
ANN1127	UT
ANN1134	UT
ANN1143	UT
ANN1151	WY
ANN1152	WY
ANN1153	WY
ANN1154	ANN1154
ANN1155	WY
ANN1156	WY
ANN1157	WY
ANN1159	WY
ANN1160	WY
ann06_seWY	ann06_seWY
