sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
ANN1171,0.027112099,-0.01990893,0.051322305,-0.030816276,-0.024185848,-0.008747124,0.000770643,Wild,KS
ANN1172,0.041450058,-0.024127622,0.056818819,-0.03388505,-0.025194905,-0.008896391,0.012012582,Wild,KS
ANN1173,0.028863053,-0.02086804,0.052050792,-0.035281277,-0.025949594,-0.009471079,0.004466649,Wild,KS
ANN1174,0.040658772,-0.019491483,0.058688755,-0.030942913,-0.020569493,-0.010215134,0.005127496,Wild,KS
ANN1175,0.010114381,-0.01236475,0.041838681,-0.035380075,-0.012134997,-0.006493675,0.02620813,Wild,KS
ANN1176,0.026863274,-0.023131372,0.049789713,-0.030447334,-0.017120686,-0.006038924,0.007195982,Wild,KS
ANN1177,0.032364174,-0.02339588,0.051362733,-0.032721693,-0.020567131,-0.011669753,0.009742066,Wild,KS
ANN1178,0.028519825,-0.020559956,0.050382143,-0.031863546,-0.020550461,-0.009942305,0.001628448,Wild,KS
ANN1179,0.018674352,-0.016439971,0.046286544,-0.031126238,-0.012021742,-0.011042631,0.014137044,Wild,KS
ANN1180,0.019408789,-0.019181028,0.051792553,-0.034466945,-0.020808302,-0.008791121,0.007040337,Wild,KS
ANN1181,0.012745738,-0.010268278,0.071021852,-0.085292104,-0.064676639,-0.012451774,0.018313485,Wild,KS
ANN1182,0.015238846,-0.009189269,0.059909821,-0.075592787,-0.053814188,-0.010639532,0.020441736,Wild,KS
ANN1183,0.026630243,-0.010229014,0.073273555,-0.080324728,-0.05394129,-0.009736593,0.016706297,Wild,KS
ANN1184,0.01560008,-0.00862401,0.067763129,-0.083504898,-0.059806126,-0.011530846,0.026741847,Wild,KS
ANN1185,0.006539933,-0.011963413,0.065798721,-0.081015658,-0.05914629,-0.011645301,0.016750806,Wild,KS
ANN1186,-0.006269249,-0.00685741,0.056142916,-0.075483471,-0.052153426,-0.010510641,0.028020237,Wild,KS
ANN1187,0.041178287,-0.010342402,0.081048636,-0.086815027,-0.067866402,-0.013952652,0.009959756,Wild,KS
ANN1188,0.040858001,-0.012084231,0.071576432,-0.076469668,-0.051209662,-0.008151553,0.007095064,Wild,KS
ANN1189,0.00637991,-0.006587507,0.059911346,-0.079955759,-0.05171285,-0.012411346,0.025363296,Wild,KS
ANN1190,0.01352046,-0.009979441,0.063279099,-0.074322455,-0.055735545,-0.010273195,0.009790357,Wild,KS
ANN1191,0.025876638,-0.002869852,0.053532576,-0.070218333,-0.024230172,-0.008933774,0.091298608,Wild,KS
ANN1192,-0.00128477,-0.001076672,0.044912445,-0.059931143,-0.01283216,-0.007787246,0.072620253,Wild,KS
ANN1193,0.032034113,0.001695281,0.060299791,-0.080755687,-0.032283219,-0.006067315,0.127751925,Wild,KS
ANN1194,-0.013222953,-0.001392634,0.041713263,-0.065970106,-0.018404696,-0.010162978,0.082072784,Wild,KS
ANN1195,0.057777756,-0.006024413,0.078075568,-0.084319859,-0.04086752,-0.007360206,0.117899622,Wild,KS
ANN1196,0.018339995,-0.00213832,0.051058202,-0.067263959,-0.02454969,-0.005289481,0.085839845,Wild,KS
ANN1197,0.038572169,-0.008265937,0.056445764,-0.062723605,-0.026630264,-0.009418021,0.065149757,Wild,KS
ANN1198,0.064948989,-0.006045814,0.06888949,-0.071882829,-0.034292352,-0.006944646,0.075577313,Wild,KS
ANN1199,0.036683727,-0.002803589,0.064764955,-0.078994934,-0.032829578,-0.005744147,0.116966418,Wild,KS
ANN1200,0.016733908,-0.003992132,0.053482085,-0.06199609,-0.023721218,-0.010342291,0.060119478,Wild,KS
