"","rowSums(table_SNP_characterized)"
"SF_55_Cloudsplitter_Level_1_disk",85
"SF_56_Cloudsplitter_FS2316_perianth",31
"SF_57_Cloudsplitter_Level_2_achene",209
"SF_58_Newt_Kash_16447_1217_disk",1189
"SF_59_Newt_Kash_4000_1_10329_achene",129
"SF_60_Newt_Kash_16446_1216_achene",3
"SF_61_a_Edens_Bluff_15478_pilot_achene",170
"SF_61_b_Edens_Bluff_15478_pilot_seed",151
"SF_62_a_Salts_Cave_24135_Ky_1946_pilot_1_achene",27
"SF_62_b_Salts_Cave_24135_Ky_1946_pilot_11_achenes",34
"SF_63a_Bushwack_116241",1871
"SF_63b_Bushwack_116241",2674
"SF_64a_Bushwack_246194",1020
"SF_64b_Bushwack_246194",912
"SF_65a_coat_Alred_117265",148
"SF_65a_endo_Alred_117265",935
"SF_65c_coat_Alred_117265",28
"SF_65c_endo_Alred_117265",471
"SF_65d_Alred_117265",642
"SF_65g_coat_Alred_117265",20
"SF_65g_endo_Alred_117265",1308
"SF_65h_coat_Alred_117265",8
"SF_65h_endo_Alred_117265",239
"SF_65i_Alred_117265_S60",1000
"SF_65j_coat_Alred_117265",16
"SF_65j_endo_Alred_117265",1527
"SF_65k_coat_Alred_117265",22
"SF_65k_endo_Alred_117265",693
"SF_65l_Alred_117265",57
"SF_65m_Alred_117265",459
"SF_66a_Indian_Bluff_116506",1692
"SK1W-22R",2895
"SK1W-29R",2904
"SK1W-37",2904
"SK1W-Q",2904
"San_Ildefonso_Pueblo_13597_747",2878
"San_Luis_Potosi_28315",2903
"Se_Purp",2905
"Se_Strip_682a",2904
"Se_Strip_682b",2904
"Seneca",2904
"Seneca_137749",2904
"Sonora_28388",2903
"Zuni",2905
"ann01_cwIA",2904
"ann04_nwAR",2903
"ann05_ccNM",2904
"ann10_ccIL",2904
"ann20_seAZ",2905
"ann28_swSK",2904
"ann29_neSD",2904
"ann34_cwKS",2904
"ann39_ncNE",2904
"annMex_A1516",2904
"annMex_A1517",2904
"annMex_A1572",2904
"annMex_A1574",2904
"annMex_Ann261",2904
