sample_intraspecific,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc,Pop_geoLoc2
ANN1175,0.009885667,0.022610796,0.048465508,-0.014014308,0.028005247,0.009812608,0.009432551,Wild,KS,KS
ANN1176,0.024737725,0.03827376,0.049179126,-0.019449042,-0.00020958,0.020034567,-0.001452472,Wild,KS,KS
ANN1177,0.031343419,0.037560258,0.052411825,-0.023334994,0.003977133,0.015232451,-0.001592689,Wild,KS,KS
ANN1178,0.027078516,0.03744221,0.053549665,-0.022250947,0.003474316,0.013273585,0.000436556,Wild,KS,KS
ANN1179,0.01595036,0.029963778,0.048280572,-0.016467215,0.014071838,0.00770241,0.005689878,Wild,KS,KS
ANN1180,0.018244447,0.033273914,0.052845493,-0.020957404,0.002544198,0.009572305,0.006427658,Wild,KS,KS
ANN1181,0.01190642,0.024451044,0.107019249,-0.066122067,0.009372328,0.024150233,0.01445445,Wild,KS,KS
ANN1182,0.014170346,0.018013709,0.095174031,-0.053866846,0.011357824,0.017922646,0.016564365,Wild,KS,KS
ANN1183,0.026249975,0.026210059,0.104814412,-0.05444809,0.007945574,0.021875702,0.00483829,Wild,KS,KS
ANN1184,0.014635177,0.019867544,0.104864838,-0.057099983,0.015352372,0.016070608,0.021685521,Wild,KS,KS
ANN1185,0.004679181,0.022215149,0.099568171,-0.059285232,0.009251594,0.019845785,0.02088011,Wild,KS,KS
ANN1186,-0.008357302,0.015252734,0.095379053,-0.051463102,0.017717549,0.011831688,0.025356151,Wild,KS,KS
ANN1187,0.041271888,0.031673029,0.112634881,-0.066905582,0.000931153,0.028242223,0.000698461,Wild,KS,KS
ANN1188,0.04030083,0.030580742,0.098866657,-0.050617794,-0.000278933,0.025686496,-0.004770993,Wild,KS,KS
ANN1189,0.004360701,0.01351728,0.09641819,-0.050468874,0.014534542,0.013545649,0.019233998,Wild,KS,KS
ANN1190,0.012602769,0.023317061,0.09418254,-0.053064367,0.003338856,0.013350422,0.011992559,Wild,KS,KS
ANN1191,0.027135904,0.011922552,0.092380234,-0.026453832,0.097225458,-0.030140132,0.089382897,Wild,KS,KS
ANN1192,-0.001721397,0.007011242,0.077569509,-0.017851882,0.077736488,-0.023229247,0.077084623,Wild,KS,KS
ANN1193,0.032831129,0.009768748,0.103564363,-0.037841211,0.134293545,-0.03557272,0.118187514,Wild,KS,KS
ANN1194,-0.014083506,0.002777653,0.077765471,-0.019128779,0.084535106,-0.027746436,0.094821439,Wild,KS,KS
ANN1195,0.057190712,0.027433534,0.112553502,-0.04309907,0.119161961,-0.025542029,0.112083865,Wild,KS,KS
ANN1196,0.01729498,0.010738361,0.084561356,-0.02309114,0.084902726,-0.021840263,0.083880824,Wild,KS,KS
ANN1197,0.039478411,0.02075705,0.084164455,-0.028230666,0.067783867,-0.012382019,0.069028538,Wild,KS,KS
ANN1198,0.065445264,0.024720836,0.0996955,-0.036541291,0.080553979,-0.014039686,0.065409493,Wild,KS,KS
ANN1199,0.036717502,0.016273662,0.105082143,-0.036114893,0.124389378,-0.031596811,0.121487967,Wild,KS,KS
ANN1200,0.015615785,0.015862572,0.079176644,-0.023835649,0.060040326,-0.016304057,0.066569801,Wild,KS,KS
ANN1201,0.014403697,0.016720664,0.102889327,-0.051874292,0.042673862,0.005600533,0.077472969,Wild,OK,OK
ANN1202,0.029030727,0.024761564,0.104328149,-0.051132264,0.036538459,0.005739483,0.058135989,Wild,OK,OK
ANN1203,0.038640149,0.027780652,0.089301193,-0.037517822,0.025732254,0.002537747,0.044252509,Wild,OK,OK
ANN1204,0.02888715,0.025837286,0.102938676,-0.051581613,0.031705036,0.010634627,0.061958,Wild,OK,OK
ANN1205,0.022794133,0.018835653,0.096383861,-0.041420105,0.035771126,0.001280733,0.060739483,Wild,OK,OK
ANN1206,0.024848811,0.024731552,0.1094564,-0.051385445,0.048242106,0.000504099,0.072202615,Wild,OK,OK
ANN1207,0.017365435,0.016191001,0.083221403,-0.036053203,0.033016728,-0.001028404,0.044708007,Wild,OK,OK
ANN1208,0.012131971,0.024114609,0.107650686,-0.050117997,0.037609734,0.006288016,0.080951552,Wild,OK,OK
ANN1209,0.022024225,0.014402903,0.072723565,-0.021961871,0.018152487,-0.001979493,0.022646097,Wild,OK,OK
ANN1210,0.002469325,0.014248437,0.082318447,-0.032956645,0.035549557,-0.000610887,0.054188506,Wild,OK,OK
ANN1216,0.037798277,-0.005551736,0.088410374,-0.014327763,0.032895142,-0.040499231,0.009621678,Wild,TX,TX
ANN1218,0.047992387,-0.004073243,0.090505062,-0.020411447,0.029623605,-0.044140344,0.005876388,Wild,TX,TX
ANN1219,0.037878023,-0.004091668,0.084499915,-0.016550767,0.01856669,-0.040365654,0.005980328,Wild,TX,TX
Ann1238_subset,0.047133946,0.037466417,-0.011097168,0.010615708,0.022346402,0.012137121,-0.01832884,Wild,NB,NB
ANN1260,0.068822316,-0.162793714,-0.079203501,-0.154350073,0.012679987,0.025394204,-0.038966982,Wild,CA,CA_NV_AZ
ANN1268,0.063891859,-0.149429132,-0.012438003,-0.058228357,-0.050928406,-0.074854763,0.177844916,Wild,AZ,CA_NV_AZ
ANN1273,0.076982472,-0.148617274,-0.01172625,-0.056637605,-0.056873341,-0.077503977,0.183595421,Wild,AZ,CA_NV_AZ
ANN1284,0.059458378,-0.148565873,-0.012912813,-0.064802923,-0.050245929,-0.075921932,0.177208458,Wild,AZ,CA_NV_AZ
